entity_name,trade_name,regulator,jurisdiction,license_type,licensed_activities,status,license_date,source_url,official_website,last_checked,notes
Foris DAX Middle East FZE (Crypto.com),,CBUAE,United Arab Emirates (federal),Money Services,Stored Value Facility,Listed in public register,2026-05-01,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,https://crypto.com/ae,2026-06-04,
AED StableCoin L.L.C - S.P.C (AE Coin),,CBUAE,United Arab Emirates (federal),Issuance,Dirham Payment Token Issuance,Listed in public register,2024,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,https://aecoin.com/index.php,2026-06-04,
AEDC Stable Coin Network And Distribution - L.L.C (DDSC),,CBUAE,United Arab Emirates (federal),Issuance,Stored Value Facility ; Payment Token Conversion ; Payment Token Custody and Transfer,Listed in public register,2026,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,https://ddsc.ai/,2026-06-04,
AEDC Stable Coin-L.L.C (DDSC),,CBUAE,United Arab Emirates (federal),Issuance,Dirham Payment Token Issuance,Listed in public register,2026,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,https://ddsc.ai/,2026-06-04,
Zand Trust L.L.C S.O.C (ZAND AED),,CBUAE,United Arab Emirates (federal),Issuance,Dirham Payment Token Issuance,Listed in public register,2025,https://rulebook.centralbank.ae/en/rulebook/payment-token-services-regulation,https://www.zand.ae/en,2026-06-04,
